unit_order,unit_id,unit_title,P3465,P3473,BWII672,R2536,I344,P3471,P400,P3475,CCCP578,P5881,A4095,L8751,B0022,P3466
40,55c75ca1-6a77-4362-b61f-8b030087b251,King Regrets Relating Dreams,وقال ما وُفّقت حين قصصت رؤياي على البراهمة فأمروني بما أمروني به,وقال عند ذلك ما وُفّقت عندما قصصت رؤياي على البراهمين حتّى أمروني,وقال في نفسه فإنّي ما وُفّقت عندما قصصت رؤياي على الإبراهيمين حتّى أمروني بما أمروني,,,وقصصت رؤياي على البرهميّين لأنّهم الأعداء السوء الأكياد فأمروني بما لو أطعتهم فيه كانت منه هلكتي في العاجل والآجل,,,[البراهميّون] الأعداء السوء فأمروا بما لو أطعتهم فيه كانت مهلكتي في العاجل والآجل وقال قد عجزت وحزنت حين قصصت رؤياي على البراهميّون وهم,وأفشيت سرّي على البرهمانيّين لأنّهم أعداء سوء ولو أطعتهم فيما أمروني لكان في ذلك هلاكي وهلاك كلّ من يعزّ عليّ,فقال في نفسه لم أُوفّق حين قصصت رؤياي على البرهميّين وأمروني بما أمروني به,وقال في نفسه لم أُوفق حين قَصصت رُؤياي على البراهميين فأَمروني بما أمروني به,وقال ما فوقت كوني قصصت رؤياي على البراهمة,وقال لم أوفّق حين قصصت رؤياي على البرهمييّن فأمروني بما أمروني
41,4163ce17-5fea-41dc-9bc7-41a0dcf16d7e,King Thankful For Queens Advice,ولولا أنّ الله تعالى تداركني برحمته لكنت قد هلكت وأهلكت,فلولا أنّ الله تداركني برحمته لكنت قد هلكت وأهلكت دنياي وآخرتي,فلولا أنّ الله يدركني برحمة منه برأي إبرخت لكنت هلكت وأهلكت معي من يعزّ عليّ وعدمت دنياي وآخرتي,فقال لولا أنّ الله رحمني وتداركني برأي هليث لضاع أمري وذهبت رؤياي,,ولولا أنّ الله يرحمني وتداركني برأي إبراخت لكنت هلكت وضاع أمري وزالت دنياي,وقال لولا أنّ الله رَحَمَني وتَداركَني برأي إيلاذ لَضاع أمري وذَهَبَتْ دُنْيَاي,,ولكنّي أحمد الله الذي أصرف عنّي ذلك وأشكر كبابرون وإبلاد فيما كان من أمرهما ورأيهما وتفريجهما عنّي ما كنت فيه من الهمّ والحزن,لكنّي حمدت الله الذي صرفني عن ذلك وأثنى على كباريون العالم وإيلاد زوجته فيما كان من أمرهما ورأيهما,ولولا أنّ الله جلّ اسمه رحمنى وتداركنى برأي إيراخت كنت قد هلكت وزالت دنياي,ولولا أنّ الله جلّ اسمه رَحمني وتداركني برأي إبراحت كنت قد هلكت وزالت دنياي,ولو لم يداركني الله بزوجتي ابزاخت السيّدة السعيدة حتّى شرحت صدري ووجّهتني إلى الحكيم الفاضل وبشّرني بهذه الهدايا متّ حزنًا وكمدًا,فلولا أنّ الله عزّ وجلّ تداركني ورحمني برأي ابراخت المباركة سيّدة النساء لكنت هلكت وزلت عن دنياي وديني ولذلك ينبغي لكلّ أحد أن يسمع من الاخلّاء وذوي المودّة والنصيحة رأيهم ويقبل في مشورتهم
42,c2d7a93b-d36d-482a-9574-27c6673b0eaf,One Must Consult Right People,وكذلك لا ينبغي لكلّ أحد أن يسمع إلّا من الأخلّاء وذوي العقول,وينبغى للرجل أن يتأنّى في أموره ويشاور من يثق به من أحبّائه وأهله ويقبل مشورتهم,فينبغي للإنسان أن يتأنّي في أموره ويشاور من يثق به من أحبابه وأهله ويقبل مشورتهم وموعظتهم,,فقال المَلك لهذا ينبغي للعاقل مشاورة أهل النصيحة,فكذلك ينبغي للعاقل أن يشاور أهل النصيحة ويسمع من الأخلّاء والأحبّاء وذوي القرابة رأيهم ويقبل مشورتهم,فَلِذَلك يَنبغي للعاقل مُشاورة أهل النصيحة,وقال ينبغي أن لا يُسمع إلاّ من الأخلاّء وذوي الرأي والقرابة فقد ثبت ملكي برأي النصحاء والأخلاّء,,,فلذلك ينبغي لكلّّ أحد أن يسمع من الأخيار والأخلّاء ذوي القرابات رأيهم ويقبل شورتهم فإنّ,فلذلك ينبغي لكلّ أحد ان يسمع من الأخلّاء الأحبّاء وذوي القرابات رأيهم ويقبل مشورتهم,والواجب على ذوي الألباب أن يشاوروا النصحاء وأهل المشقّة من الأقرباء وعرفت قدر أهل مودّتي,
43,4aa0c811-f0fd-450d-b559-a35ddce92d72,Vizir Take Advice All Matters,,,,,,,,,,,فقال إيلاذ له لا يعمل المرء شيئًا من الأشياء صغيرًا أم كبيرًا إلّا برأي أهل المودّة والخير ثمّ,,,
44,7610476d-4153-4938-8b95-28a498ddc34a,Queen Deserves Gift For Good Advice,,,,,,,,,,,,,,
45,f7e6af62-6d6f-4fab-a4fe-f2726847765b,Queens Advice Saved King,وإنّ ايراخت أشارت بالخير فقبِلْتُه ورأيت به النجاح,فإنّ إبرخت أشارت عليّ بالخير من الرأي فقبلته وأصبت به الخير والنجاح وأصلح ذلك مملكتي وقوّتي,فإنّ إبرخت صار لها عليّ جميل لا أطلع من تحته فنعم الرأي رأيها لأنّ فيه الخير والصلاح ونلت به غاية النجاح وانصلح بشورها مُلكي وقوي قلبي وخزُل ضدّي,فإنّ هليث أشارت عليّ بخير وإنّي قبلته واغتبطته وثبّت الله به مُلكي برأي الأخلّاء النصحاء,فإنّ هلبتًا أشارت عليّ بخير وإنّي قبلته واغتبطت به وثبّت الله به مُلكي برأي الأخلّاء والنصحاء,فإنّ إبراخت أشارت عليّ بخير رأيِ فقبلته واغتبطّت به وثبّت الله لي ملكي برأي الأخلاء والنصحاء,فإنّ إيلاذ أشَارتْ عَلَيّ بِخَير وَلَوْ أنّي قَتَلتُه *** وَثبّت الله مُلكي بِرأي الأخِلّاء النُصَحَاء,,,,إيراخت أشارت عليّ ما ارلدى الذي انتفعت به في ثبات مُلكي والذين ترون من الفرح والسرور,فإنّ إبراحت أشارت علي برأي فقبلته واغتبطت به فثبت لي ملكي برأي الأخلّاء النُّصحاء,,فإنّ ابراخت أشارت علىّ بخير رأي فقبلته فأعطى الله به وثبّت مُلكي برأي الاخلّاء والنصحاء
46,9d9f1fe7-d32f-46df-a6a3-f2ee6a54067c,King Appreciates Wise Man,,,,واستبان لي قول كينارون وصدق قوله,واستبان لي قول كينارون العالم وصدقه,واستبان لي فضل علم كمابيرون وصدق قوله وحكمته ودخوله في الأمور الغامضة وما أُعطي من العلم والفهم,واستبَان لي عِلم كنايرون وصدق قولُه,دعا الملك جوبر كاتبه وبلاذ صاحب أمره,مع ما استبان لي من علم كبابرون وحكمته وما أعطي من العقل والعلم,,,وتبيّن لي أيضا علم كنان ابرون وصَدق قوله,واستبان لي فضل الحكيم الفاضل كبارايرون,واستبان لي أيضًا فضل علم كناربزون وصدق قوله
47,24be1e30-0688-4803-97e8-3697738c1840,Gift To Be Distributed To All Victims,,ثمّ أنّ المَلك دعا جوير وإياذ وكمال الكاتب ثمّ قال لا ينبغي أن تدخل هذه الهدايا إلى خزانتي ولكن أقسّمها بينكم أيّها الثقات الذي طبتم أنفسًا على الموت من أجلي,ثمّ إنّ المَلك أدعى بجرير وإيلاد وكمال الكاتب ثمّ قال لهم لا ينبغي أن تدخل هذه الهدايا إلى الخزينة ولكن اقسموها فيما بينكم أيّها الثقاة الذي وطّنتم أنفسكم على الموت من أجلي,ثمّ دعا المَلك هليث وغيرها ممّن كان أُشير عليه بقتله فقال لهم إنّي قد رأيت أن أقسم هذه الألطاف بينكم أيها الموطّنون أنفسهم على الموت بسببي,ثمّ دعا المَلك هلبتًا وغيرها ممّن كان أُشير عليه بقتله بعد أن توافت الهدايا عنده والتمام سبعة أيّام والام فقال لهم إنّي قد رأيت أن أقسّم هذه الهدايا بينكم أيّها المواطؤن أنفسهم على الموت بسببي,ثم دعا الملك بإبراخت جوير وإيلاد وكال الكاتب وقال لهم إنّه لا ينبغي أن ندخل هذه الهدايا إلى خزينتي,ثُمّ دَعَا الملك إيلاذ وغيرَهَا ممّن كَان أشار عَليه بقتله فقال لهُم إنّي قَد رأيت <أن> أقسَّم هذه الهدايا بينَكُم أيُّها المُوطّئون أنفسَهُم على الموت في سببي,ثمّ دعا الملك جوبر كاتبه وبلاذ صاحب أمره وكال الكاتب فقال لهم إنّه لا ينبغي لنا أن نُّدخل هذه الهدايا خزانتنا ولكنّي قاسمها بينكم إذ وطّنتم أنفسكم على الموت في سببي,ثم دعا جرىرًا وإبلاد فقال لهمـا إنّه لا ينبغي لهذه الهديّة أن توضع في خزائننا ولكن أقسّموها,ثمّ دعا ولده جويز وبلاد وقال *لهما لا ينبغي أن تُوضع هذه الهديّة في جرايتي لكن اقسموها,دعا للمَلك بإيراخت وولدها جوبر وكال الكاتب وايلاذ وقال لهم لاينبغى لنا أن ندخل هذه الهدايا خزائننا ولكنّي قاسمها بينكم لأنّكم الذين وطّنتم أنفسكم على الموت في سببي وبرأي,ثم دعا الملك جوير وإيلاد وقال لهم أنّه لَاينبغي أن ندخل هذه الهَدايا خزائننا ولكنّي قاسمها بينكم لأنّكم وطئتم أنفسكم عَلى الموت بسببي,ثمّ استدعى الملك ابنه حوّي وبلاذ وزيره وكاك الكاتب وقال إنّه لا ينبغي لنا أن ندخل هذه الهدايا خزائننا ولكن نقسمها بينكم لأنّكم أنتم الذين وطّنتم أنفسكم على الموت في سببي,ثمّ دعا الملك ابنه جويز وبلاذ وزيره وكاك الكاتب فقال لهم إنّه لا ينبغي لنا أن نُدخل هذه الهدايا خزائننا ولكن نقسمها بينكم لأنّكم أنتم الذين وطّنتم أنفسكم على الموت في سببي
48,87747a75-5c24-41fe-a5ef-7483b1c08af2,Queen Is Especially Deserving,,ولا سيّما إبرخت التي أشارت عليّ فأعقب مشورتها ما ترون,ولا سيّما إبرخت التي أشارت عليّ بذلك الشور الحميد فأعقبني من مشورتها التي ترون,,,,,,بين إبلاد التي أشارت عليّ ونصحتني وبين بقيّتكم الذي كانوا شركائي فيما كنت,بين إيلاد التي أشارت عليّ ونصحتني وبين بقيّتكم الذين كانوا شركائي فيما كنت فيه,إيراخت التي أشارت عليّ بالرأي الذي انتفعت به في بقاء مُلكي,وبين ابراحت الذي أشارت عليّ بالرّأي الذي انتفعت به في بقاء ملكي والذي ترون من الفرح والسّرور,ولا سيّما إبزاخت التي جادت بنفسها وبذلت نصحها وهي التي كانت السبب لبقاء ملكي,ولا سيّما ابراخت التي أشارت عليّ بالرّأي الذي أعقب بقاء ملكي والذي ترون من الفرح والسرور
49,6b99c851-8112-445f-855e-8957516332c0,Subjects Depend On King,,,,قال بلاذ أيّها المَلك إنّه لا ينبغي أن تحمدنا على إسلامنا أنفسنا دونك لأنّ قوامنا إنّما هو بك,قال بلاد أيّها المَلك لا ينبغي لنا أن نجهد أنفسنا على إسلامنا إيّاها دونك لأنّ قوامنا إنّما هو بك,,قال بَلار أيُّها الملك لا يَنبغي لك أنْ تَحمد أنفسَنَا على اِسلامنَا إيّاها دُونَك لأنّ قوامَنا إنّما هُو بك,,,,,,,
50,806fb37a-bb06-465c-b567-23b1efada025,Subjects Dont Expect Reward,,فقال إيلاذ إنّه لا ينبغى لنا معاشر العبيد أن نعجب بما كان منّا في ذلك,فقال إيلاد أيّها المَلك لا ينبغي لنا معاشر العبيد أن نعجب بأنفسنا من أجل كلام بدا منّا,,,,,,فقال له بلاد لا ينبغي لنا معشر العبيد أن يعظم في أعيننا الذي كان منّا فيما وطنّا أنفسنا من التماس مؤازرة الملك وموافقته,فقال بلاد لا ينبغي لنا معاشر العبيد أن يذكر †غهنا فيما وطنّا فيه أنفسنا في موافقة المَلك,,فقال إيلاد إنّه لَا ينبغي لنا معَاشر العبيد أن ندنوا منهما,قال بلاذ إنّا لا ينبغي معشر العبيد أن نعجب بما كان منّا في ذلك,قال بلاذ أنّه لا ينبغي لنا معشر العبيد أن تعجب بما كان منّا في ذلك
51,1176d826-9784-4ee1-a676-cd36be1c79b8,Subjects Must Sacrifice For King,,لا ينبغى لكلّ أحد منّا يسلّم نفسه للموت دون مَلكه وإنّه متى لم تطب تطب نفسه بذلك فما وافاه مَلكه حقّه وليس ذلك بإنسان كامل,لأنّه ينبغي لكلّ عبد أن يفدي روحه بإصلاح أمور سيّده وإنّما أن ما طابت نفسه لذلك فيكون ما وفّى حقّ خدمته وليس يكون إنسان كامل وأمّا هذه العطيّة فلا ينبغي لنا معاشر العبيد <أن> نتقاسمها ولا نطمع فيها,,,,,,وأيّ امرئ [لا] يتجشّم ذلك لملكه وذوي قرابته فإن لم يفعل ذلك لم يكمّل أخاه ولم يستقم طريقه فلا يكونّن على <الملك> ما كان منّا في ذلك عجب,لأنّ ذلك فرضًا علينا لازمًا وحقًّا واجبًا ولا يكثر على الملك ما كان منّا في ذلك,,,وأيّ عبد لا ينبغي أن يسلّم نفسه فداء سيّده فإنّ الذي لا تطيب نفسه بالموت فداء سيّده ليس بكامل الحلم فلا تعجبنّ أيها الملك إن أسلم عبد نفسه إلى الموت مكان سيّده الذي شرّفه وكرّمه وفي بقائه بقاء نفسه وبقاء النعمة عليه,وأي عبد لا ينبغي له أن يسلّم نفسه فداء مليكه للموت فإنّ الّذى لا تطيب نفسه بالموت فداء الاخلّاء ليس بكامل الحلم فلا تعجبن أيّها الملك إن أسلم عبد نفسه إلى الموت مكان مليكه الّذى شرّفه وكرّمه وفي بقائه بقاء النعمة عليه
52,bb9bec12-e08f-4a48-af24-1cc85c9d57d7,Vizier Rejects Gift,,وأمّا هذه العطيّة فلا ينبغي لنا معاشر العبيد أن نتقاسمها ولا نطمع فيها فأمّا أمّ جزبر وولدها فإنّ ذلك لهما بوجه حقٍِّ فلياخذ منهما ما يرى المَلك,فأمّا أمّ جرير وولدها فإنّ ذلك لهما بوجه الحقّ فلتأخذ منها ما يرى المَلك برأيه وليكون شطر الآخر لإبرخت,وأمّا الهديّة فإنّها ليست تصلح لنا وإنّما هي للملوك وليس تصلح إلّا لهم,وأمّا الهدايا فإنّها ممّا ليس تصلح لنا وإنّما هي للملوك ولا تصلح إلّا لهم,,فأَمّا الهدايا فإنّها ليس ممّا يَصلح لنَا وإِنَّمَا هِي للملوك وإن <لا> تَصلُح إلّا لَهُم,,لم يكمّل أخاه ولم يستقم طريقه فلا يكونّن على,فإنّه لا يجمل بنا أن نتناول هذه الهديّة ولا غرّت بها أنفسنا غير جويز ابن المَلك فإنّه أهل لما أعطاه المَلك منها,فقال إيلاذ إنّه لاينبغي لنا معشر العبيد أن ندنو من هذه الهدايا فأمّا جوبر ابنك فهو لها أهلًا فليأخذ ما أعطيتموه,فأمّا جوبر ابنكم فهو لها أَهل فليأخذ ما أعطيتموه,فأمّا هذه الهدايا العظيمة فإنّه لا ينبغي لنا معشر العبيد أن ندنوا منها وأمّا حوي فإنّه خليق بها ولائق بها,فأمّا هذه الهدايا العظيمة فإنّه لا ينبغي لنا معشر العبيد أن ندنوا منها فأمّا جويز فإنّه ولدكم فليأخذ ما أعطيتموه
53,58a2d55c-3b07-4353-97cb-1c16c2e8bfaa,King Instists Giving Gift,,قال المَلك لا تحملوا الأمر في ذلك على ضدّ ما في نفسي ففى قبول قولي خيرًا كثيرًا وخذ نصيبك يا إيلاذ تقرّ به عينك,قال المَلك لا تحملنّ الأمر في ذلك على ضدّ ما عندي فيه ففي قبول قولي خيرًا كثيرًا فلا تظنّوني يا إيلاد أقول لك توجهنًا بل من صميم خاطري فخذ منه نصيبك وقرّ به عينك,قال المَلك إنّي أريد أن أطعمك ثمرة صبرك وتوطينك نفسك على الهلاك دوني أنت ومن معك من أصحابك وقد آليت أن لا أدخل هذه الألطاف خزائننا حتّى يأخذ كلّ واحد منكم حصّته,قال المَلك فإنّي أريد أن تأكل ثمرة عملك وصبرك وتناسيك على الهلاك دوني يا بلاد أنت ومن معك من أصحابك وقد آليت أن لا أدخل هذه الألطاف خزانتي حتّى يأخذ كلّ واحد منكم حصّته منها,حتّى يأخذ منها كلّ واحد منكم حصّة وإنّه قد شاع لنا من هذا الأمر في البلاء ذنبًا عظيم حسن وخير كثير واضطرب منه ما قد علمتم وأنت حقيق يا إيلاد أن لا تحتشم من أخذ ما أكرمتك به من هذه الهديّة وأن تقبض نصيبك منها وتقرّ به عينًا ويفرح به صديقك ويسوء به عدوّك,فقال الملك فإنِّي أُريد أنْ تأكل ثَمرة صبرِك وتوطينِك نفسِك على الهلاك دُونِي يا بَلار أنت وَمَنْ مَعَك مِنْ أصحَابِك وَقَدْ آليت أنْ لا أُدْخِلْ هَذِه الألطاف خزائنَنا حتّى يَأخُذ كُلّ واحد منكُم حصَّتَه,,قال الملك إنّه قد شاع هذا الأمر في البلاد ما اضطربت منه وأنت خليق يا بلاد ألاّ تحتشم من أخذ ما أكرمك به لفضلك على جميع أهل مملكتي وأن تأخذ من هذه الهديّة ما تقرّ به ويفرح به صدرك ويساء <به> عدوّك,فقال له المَلك إنّه قد شاع من هذا الأمر في البلاد واضطرب منها ما قد سمعتم وعلمتم فـأنت حقيق يا بلاد أنّك لا تحتشم من أخذ ما أكرمتك به من أفضل هذه الهديّة وتقرّ أعيننا بذلك فيفرح بذلك صديقك ويسوء ذلك عدوّك,فقال المَلك قد شاع لنا في البلاد من هذا ثناء حسن وخير كثير فلا تحتشم يا إيلاذ وخذ نصيبك وقرّ به عينًا,فقال الملك إنّه قد شاع لنا في هذا ثناء حسن وخير كثير فلا تحتشمنّ إيلاد وخذ نصيبك وقرّ به عينا,فقال الملك إنّه قد شاع لنا في هذا الأمر ذكر عظيم وفخر جسيم فلا *تحتشمنّ يا بلاذ وخذ الذي يصيبك وقرّ به عينًا,فقال الملك أنّه قد شاع لنا في هذا الأمر ذكر عظيم وفخر كثير فلا تحتشمنّ يا بلاذ وخذ الّذي يصيبك فقرّ به عينًا
54,e854be9e-6c77-4bc5-9f6c-948d78538e39,Vizier Accepts Gift,,فقال إيلاذ فليكن ما أحبّ المَلك لكن أرى أن يبدأ المَلك بأخذ ما يختار ثمّ يبدأ بالنساء ويتبع بعد ذلك بمن أراد,فقال إيلاد فليكن من ذلك ما تختار,قال بلاذ فليبدأ الَملك فليأخذ ما يصلح به ثمّ يرى في الباقي رأيه,قال بلاد فليبدأ المَلك فيأخذ ما لا يصلح إلّا له ويرى في الباقي رأيه,قال إيلاد أمرنا لرأي الملك تبع فليصنع ما بدا له وليتدبّر الملك فيأخذ ما لا يصلح إلّا له ويرى في الباقي رأيه,قال بَلار فَليبدأ الملك فليأخذ مَا لا يَصْلُح إلّا لَه وَيَرَى في الباقي رَأيَه,,أهل مملكتي وأن تأخذ من هذه الهديّة ما تقرّ,قال بلاد أنا برأي المَلك فليصنع بي ما بدا له,فقال إيلاذ ليكن من ذلك ما أحبّ المَلك وليبدأ بأخذ ما يريد,فقال إيلاد ليكن مَا أحبّ الملك أن يبدأ بأخذ مَا يريد فليفعل,قال بلاذ ليهب الملك ما يريد وإن يرى أن يختصّ أوّلًا بشيء *فليفعل,قال بلاذ ليكن من ذلك ما أحبّ الملك السعيد ولكن إن رأي الملك أن يبدأ بأخذ ما يريد أولًا فليفعل
55,d250f31b-d354-429f-8a3d-adc7d8ea7b64,Men Receive Their Gifts,,فأخذ الملَك الفيل الأبيض وأعطى كمالًا الفرس وبعث إلى الحكيم كىاراىرون ما يصلح له من تحف الملوك وأمر,ثمّ بدأ بالنساء وأتبع ذلك من أراد بما أراد فأخذ المَلك الفيل الأبيض وأعطى كمال الفرس وبعث إلى كباراثرون الحكيم ما يصلح له من تحف الملوك,فأخذ المَلك الفيل الأبيض والفيلين الآخرين وأعطى جويبر ابنه أحد الفرسين وأعطى بلاذًا السيف وأعطى الكاتب الفرس الآخر وبعث إلى كينارون ثياب الكتّان,فأخذ المَلك الفيل الأبيض والفيلين الآخرين وأعطى جوبير ابنه أحد الفرسين وأعطى بلاد السيف وأعطى الكاتب الفرس الآخر وبعث إلى كينارون ثياب الكتّان,فأخذ الملك الفيل الأبيض لنفسه وأعطى جوير ابنه أحد الفرسين وأعطى إيلاد السيف الخالص من الحديد المعدوم الوجود وأعطى كال كاتبه الفرس الآخر وبعث إلى كمابيرون العالم الفاضل بلبس الكتّان التي تلبسها الملوك,فَأَخَذ المَلِك الفِيْل الأبيض والفِيلَين الآخرَين وأعطى جوبر ابنَه أحَد الفَرسَين وأعطى بَلار السيف وأعطى الكاتب الفَرَس الآخَر وَبَعَث إلى كىىاىرون بالثياب الكتَّان,فأخذ الملك الفيل الأبيض وأعطى جوبر أحد الفرسين وأعطى بلاذ السيف الخالص الحديد وأعطى كال الفرس الآخر وبعث إلى كبايرون بلباس الملوك,الملك الفيل الأبيض لنفسه وأعطى جرىرًا ابنه وكاتبه الفرسين بسرجيهما فأخذ وأعطى بلاد السيف وأرسل إلى كبابرون الثياب الكتّان,قال فأخذ المَلك الفيل الأبيض لنفسه وأعطى جويز أحد الفرسين وأعطى بلاد السيف وأعطى كباريون الثياب,فأخذ المَلك الفيل الأبيض وأعطى جوبر أحد الفرسين وأعطى إيلاذ السيف الخالص الحديد وأعطى الكاتب الفرس الآخر وبعث إلى كنانابزون الثياب الكتّان التي تلبس الملوك,فأخذ الملك الفيل الأبيض وأعَطى جوير أحد الفرسين وأعَطى إيلاد السّيف الخالص الحديد وأعَطى كامل الفرس الآخر وبعث إلى كان ابرون بالّلباس الذي يلبس الملوك,فأخذ الملك <الفيل> الأبيض وأعطى ابنه أحدى الفرسين وأعطى إبلاذ السيف الخالص وأعطى كاك الفرس الآخر وأعطى كبارايرون لباس الكتّان ممّا يلبس الملوك وأكرمه على ذلك بعطاء جزيل من عنده وأعطى البازين بن أخيه الكريم عليه,فبدأ الملك فأخذ الفيل الأبيض ثمّ أعطى ابنه جويز إحدى الفرسين وأعطى بلاذ السيف الخالص الحديد وأعطى كاك الكاتب الفرس الآخر وبعث إلى كناربزون بالثياب الكتّان التي تلبس الملوك وأكرمه بكرامة جزيلة وأعطى البازين ابن أخيه الكريم عليه
56,860494d9-8e95-4696-a8ad-6aef23fbdf01,Queen Shall Choose Gift,فضعوا الهديّة بين يديها تأخذ منها ما اختارت فوُضِعت الهديّة بين يدي ايراخت,المَلك أن تُحمل باقي الهدايا إلى مجلس النساء فحُمل وأُحضر إبرخت وأمّ جوبر فجلسا بين يديه ثمّ خيّر إبرخت بين الإكليل والكسوة لتأخذ أيّهما شاءت,قال المَلك أمّا الإكليل والثياب فاحملوها إلى مجلس النساء ففعل وأحضر إبرخت وأم جرير فأتياه وخضعا بين يديه ثمّ أنّ المَلك خيّر إبرخت بين أن تأخذ الإكليل أو الكسوة,وأمّا الإكليل والثياب التي لا تصلح إلّا للنساء فإنّه أمر بلاذ بين يديه فقال يا بلاذ ضع الإكليل والثياب من يدي هليث فلتأخذ أيّها شاءت,وأمّا الإكليل والحلّة التي لا تصلح إلّا للنساء فإنّه أمر بلاد أن يُوضع الإكليل والحلّة بين يدي هلبت فلتأخذ أيّها شاءت,وأمّا الإكليل وسائر اللباس التي لا تصلح إلّا للنساء فإنّه أمر إيلاد أن يحملها ويلحق به إلى مجلس النساء فدعا الملك إبراخت وهي إيلاد وجورقناه أكرم نسائه فجلسا بين يديه فقال لإيلاد ضع الإكليل والكسوة بين يدي إيلاد وأمرها أن تأخذ أيّها شاءت,وأمَّا الإكليل والثِّيَاب التِي لا تَصْلُح إلا للنساء فإنّه أمَر بلار بين يَديه فقال يا بَلار ضَعْ الإكليل بين يَدَيّ إيلاذ فَلتَأْخُذْ مِنْهَا ما شَاءَتْ,وأمّا الإكليل وما شابهه فإنّه يصلح للنساء فقال لبلاذ خذ الثياب والإكليل فامض به إلى النساء ودعا الملك إبرخت وجورفىاه فجلسا بين يديه قال الملك لبلاذ ضع الإكليل والكسوة بين يدي إبرخت فليأخذ أيّها شاءت,وأمر بلاد بحمل ما بقي واتّباعه به إلى مجلس نسائه ففعل ذلك فدعا الملك إبلاد وحرقتاه امرأتيه فقعدتا بين يديه فوضع الإكليل والكسوة بين يدي إبلاد وأمرها بالاختيار,وأمر بلاد أن يحمل ما بقي إلى مجلس نسائه ودعا الملَك إيلاد وحرفناه إمرأتاه جميعًا فجلستا بين يديه فوضع الإكليل والكسوة بين يدي إيلاد وأمرها بالاختيار,أمّا الإكليل وسائر اللباس ممّا كان يصلح للنساء فقال يا إيلاذ خذ الإكليل وسائر اللباس فاحمله معي واتبعني إلى مجلس النساء فلمّا انطلق إليه دعا بإيراخت ومساميتها فجلستا بين يديه وقال يا إيلاذ ضع الكسوة بين يدي إيراخت فلتأخذ أيّها شاءت,وَأمَّا الإكليل وسائر اللباس ممّا كان يصلح للنّساء قال لإيلاد خذ الإكليل والثياب فاحملها معي واتبعني إلى النساء ففعل ذلك وحمل الجميع معه إلى النساء فدعى الملك إبراحت وكورفيا فجلستا بين يديه قال يا إيلاد ضع الكسوة بين يدي إبراحت فلتأخذ أيّها شاءت,وأعطى الإكليل واللباس الجلد †حوان لإبزاخت ويقال إنّه أخذ الإكليل ودفعه إلى بلاذ وقال احمل هذا بين يديك إلى مجلس الحريم فلمّا حمله بلاذ دخل الملك أحضر النساء وقدّم إبزاخت أن تأخذ وأمر أن تأخذ منها ما شاءت,وقال أمّا الإكليل وسائر اللباس فإنّه يصلح للنساء فقال لبلاذ خذ الإكليل والثياب فاحملها واتبعني بها إلى مجلس النساء ودعا الملك ابراخت وحورفتاه فجلستا بين يديه فقال لبلاذ دع الكسوة والإكليل بين يدي ابراخت لتأخذ أيّها شاءت
57,a9104483-f46f-49df-bae1-6a97f57bbbd5,Hesitating Queen Looks At Vizier,,فنظرت إلى إيلاد مسارقة كالمستشيرة له أيّها تأخذ,فنظرت إبرخت فيهم ورفعت نظرها لإيلاد كالمستشيرة له أيّهما تأخذ,فلمّا رأت هليث كلاهما عجب في منظره نظرت إلى بلاذ ليريها أيّها تأخذ,فلمّا رأت هلبت أنّ كلاهما معجِب في منظره نظرت إلى بلاد ليريها أيّهما أفضل,فلمّا رأت هليب أنّ كلاهما عجِب في منظره فلم تدر أيّهما تأخذ فنظرت إلى إيلاد ليشير عليها,فلمّا رَأَتْ إيلاذ أنّ كِلَاهُمَا عَجَب في مَنْظَرِه نَظَرَتْ إلى بَلار ليُرِيهَا أيُّها أَفضَل,فلمّا نظرت إبرخت إلى الإكليل وحسنه نظرت إلى بلاذ ليشير إليها أيّهما أفضل,فلمّا رأتهما أعجبتاها فلم تدر أيّهما تأخذ فنظرت إلى بلاد ليشير عليها,فلمّا رأتهما إيلاد أعجبت بهما وتحيّرت ولم تدر أيّهما تأخذ فنظرت إلى بلاد ليشير عليها برأيه,فلمّا نظرت إيراخت إلى الإكليل والثياب وأعجبها منظرها ولم تدر أيّهما تأخذ فنظرت إلى إيلاذ بمؤخّر عينها ليريها أيّهما أفضل,فلما نظرت إبراحت إلى الإكليل وعجبه نظرت إلى إيلاد بمؤخر عينها ليريَها أيّهما أفضل,فنظرت إبزاخت ورأت كلّ ذلك سنّيًا فنظرت إلى بلاذ وغمزته أن يشير عليها ماذا اختاره,فلمّا رأت ابراخت أنّ كليهما معجب نظرت إلى [[ابراخت]] بلاذ بمؤخر عينها ليريها أيّها تأخذ
