unit_order,unit_id,unit_title,I344,R2536,P400,P3465,P5881,P3475,P3473,R2407,BWII672,A4095,P3466,CCCP578,L8751,L4044,P3471
75,4bccc948-093c-4dcf-9c96-6df3e3232692,The Cat Reassures the Rat,ولا تخف فما نفسي بأعزّ عليّ من نفسك وحلف له أن لا يبغيه شرّ,ولا تخف فما نفسي بأعزّ عليّ منك وحلف له أن لا يبغيه سوءًا,ولا تخف فنفسك أعزّ عليّ من نفسي وحلف له أن لا يبغيه سوءًا,,فلا تخاف منّي واعلم أنّ جميع ما لي مبذولا لك ثمّ حلف السنّور وأشهد على نفسه الله سبحانه وتعالى على ذلك,فلا تخافنّ منّي شيئًا واعلم أنّ ما قبلي لك مبذول ثمّ حلف واجتهد,فلا تخافنّ منّي شيئًا واعلم أنّ كلّما قبلي فهو لك مبذول ثمّ حلف له أيمانًا مغلّظًا [وا] واجتهد غاية الاجتهاد,فلا تخفي منّي شيئًا لأنّ كلّما لي فهو لك مبذول ثمّ حلف له بأيمان عظيمة واجتهد غاية الجهد,فلا تخف منّي شيئًا واعلم أنّه كلّ ما هو من قبلي فهو لك مبذول ثمّ حلف له بأيمان عظيمة واجتهد غاية الاجتهاد,فلا تخافنّ منّي شيئًا واعلم أنّ ما قبلي لك مبذول ثمّ حلف له واجتهد على تصديق ما قال,فلا تخافنّ منّي شيئًا واعلم أنّ ما قبلي لك مبذول ثمّ حلف واجتهد على صدقه فيما قال,فلا تخافنّ مني شيئًا فاعلم إنّ ما قيل لك مبذول ثمّ إنّه حلف له واجتهد على صدقه,فلا تخافنّ شيئًا واعلم أنّ ما قِبلي لك مبذول ثمّ حلف واجتهد على أن يصدّقه بما قال,فلا تخافنّ منّي غدرًا *وإنّ ما قِبلي لك مبذول ثمّ حلف له على ذلك واجتهد في,فلا تخافنّ منّي شيئًا واعلم أنّ ما في قلبي وعندي لك مبذول واجتهد على أن يصدّقه بما قال وحلف له أن لا !يبقه سوءًا
76,3b84fefd-5a0c-47ce-ace9-c9082653d313,The Treatment of Friends or Foes,قال الجرذ إنّ الذي لا يحسن مداراة الأعداء والأصدقاء أضرّ بنفسه وأهلكها,فقال الجرذ إنّ الذي لا يحسن *مداراة الأعداء والأصدقاء أضرّ بنفسه ويهلكه,فقال الجرذ إنّ الذي لا يحسن مداراة الأعداء والأصدقاء أضرّ بنفسه وأهلكها,,,والذي لا يحسّ مداواة الخليل بعد العداوة وبعد الصداقة فجعل الخليل عدوًّا فقد مكّن نفسه من عدوّه,,,,,,,,وإنّ الذي لا يحسن مداراة الخليل بعد العداوة ولا مصانعة العدوّ بعد الصداقة يجعل الخليل عدوًّا ويمكّن من نفسه العدوّ,قال الجرذ إنّ الذي لا يحسن مداراة الأعداء والأصدقاء يضرّ نفسه ويهلكها والعداوة والصداقة مواضع وأقدار ينبغي للعاقل أن يجري فيها على ما ينبغي منها
77,874b7e8c-b015-49ee-a256-30d8c6f754b3,The Rat Distinguishes Hidden from Overt Enmity,,,,فناداه الجرذ رُبّ صداقة ظاهرة باطنها عداوة كامنة وهي أشدّ من العداوة الظاهرة,فقال له الجرذ ربّ عداوة باطنة ظاهرها صداقة وهي أشدّ ضرًّا من العداوة الظاهرة,فأجابه الجرذ وقال إنّه ربّ عداوة باطنة ظاهرها صداقة وهي أشدّ ضررًا من العداوة الظاهرة,فأجابه الجرذ إنّ كلّ *صداقة ظاهرة باطنها عداوة فهي أشدّ من العداوة الظاهرة,فأجابه الجرذ إنّ كلّ صداقة ظاهرة باطنها عداوة فهي أشدّ من العداوة الظاهرة,فأجابه الجرذ إنّ كلّ صداقة ظاهرة باطنها العداوة فهي أشدّ من العداوة الظاهرة,فأجابه الجرذ أنّه ربّ عداوة باطنة ظاهرها صداقة وهي أشدّ ضرًّا من العداوة الظاهرة,فقال الجرذ إنّه ربّ عداوة باطنة ظاهرها صداقة وهي أشدّ ضررًا وأبلغ من العداوة الظاهرة,فقال الجرذ أنّه ربّ عداوة باطنة ظاهرها صداقة وهي أشدّ ضررًا من العداوة الظاهرة,فأجابه الجرذ إنّه ربّ عداوة باطنة ظاهرها صداقة وهي أشدّ من العداوة الظاهرة,اليمين فأجابه الجرذ فقال له إنّه ربّ صداقة باطنها عداوة وهي أشدّ ضرًّا من العداوة الظاهرة,وربّ عداوة باطنة ظاهرها صداقة هي أشدّ من العداوة الظاهرة
78,eafd61bd-6c64-4732-bc5e-51d44bdf720e,Hypocricy Is the Worst Danger,,,,,,وأنّ المظهر بلسانه من النصح خلاف ما يضمر من الغشّ فهو أعدى عدوّ ولا سيّما إذا كانت عداوته جوهريّة وإنّما دعاه إلى المخاللة حاجة اضطرّته إلى عدوّه,,,,,,,,والمظهر بلسانه من النصح خلاف ما يواري ضميره من الغشّ فهو أعدى عدوّ ولا سيمّا إذا كانت عداوته جوهريّة فإنّه *إنّ ما دعا إلى المخاللة والمصاحبة حاجة اضطرّته إلى,
79,d7476ec6-31f5-4c03-b638-b6d8648de1ce,Riding an Elephant's Tusk,,,,التي موقعها موقع الرجل الذي يركب ناب الفيل المغتلم ثمّ يغلبه النعاس فيطيح ويهلك,فمن لم يحترس منها وقع موقع الرجل الذي يركب ناب الفيل ثمّ يغلبه النعاس فيسقط من عليه,ومن لم يحترس منها وقع موقع الرجل يركب ناب الفيل المغتلم ثمّ يغلبه النعاس,ومن لم يحترس منها فهو كالرجل الذي ركب على ناب الفيل فغلبه النعاس,ومن لم يحترس منها وقع في موضع الرجل الذي ركب ناب الفيل فغلبه النعاس,ومن لم يحترص منها وقع في موضع الرجل الذي ركب ناب الفيل فغلبه النعاس فأهلكه,ومن [ومن] لم يحترس منها وقع في موقع من يركب ناب الفيل المغتلم ثمّ يغلبه النعاس,ومن لم يحترس منها وقع موقع الرجل الذي يركب ناب الفيل المغتلم ثمّ يغلبه النعاس فيستيقظ تحت فراسن الفيل فيدوسه فيقتله,ومن لم يحترس منها وقع موقع الرجل الذي ركب ناب الفيل ثم تغلّبه النعاس,ومن لم يحترس منها وقع في موقع الرجل الذي يركب ناب الفيل المغتلم ثمّ يغلبه النعاس فيقع تحت فراسن الفيل *فيطأه فيقتله,عدوّه فمن لم يحترس من هذا كان كالراكب على ناب فيل مغتلم فينام,ومن لم يحترس منها وقع فيها موقع الرجل الذي ركب باب الفيل المغتلم ثمّ يغلبه النعاس
80,42d1ffe4-eb56-40d2-be3d-ed1b16cfc697,An Enemy Is Befriended in Times of Need,,,,وإنّما سُمّي الصديق صديقًا لما يُرجى من نفعه وسُمّي العدوّ عدوًّا لما يُخاف من ضرره والعاقل إذا رجا نفع العدوّ أظهر له الصداقة,وإنّما سُمّي الصديق صديقا لما يُرجى من نفعه والعدوّ عدوًّا لما يُخاف من ضرّه والعاقل إذا رجا نفع العدوّ أبدى له الصداقة وإذا خاف العدوّ أبدى له العداوة,وإنّما سُمّي الصديق صديقًا لما يُرجى من نفعه والعدوّ عدوًّا لما يُخاف من ضرّه فإنّ العاقل إذا رجا نفع عدوّه أظهر له الصداقة وإذا خافه أظهر له العداوة,ثمّ إنّ الصداقة لما يُرجى نفعه من العدوّ الذي يُخاف ضرّه إنّما تكون في حينها والعاقل إذا رجا نفع العدوّ واضطرّ إليه بذل له الصداقة وإن خاف ضرّ الصديق واستغنى عنه أظهر له العداوة,ثمّ إنّ الصداقة لما يُرجى نفعه من [من] الهدّ والذي يُخاف ضرّه إنّما تكون في حينها والعاقل إذا رجا نفع العدوّ وبذل له الصداقة وإن خاف من الصديق أظهر له العداوة,ثمّ إنّ الصداقة لم يُرجى نفعه من العدوّ الذي يُخشى ضرره إنّما تكون في حينها والعاقل إذا رجا نفع العدوّ وبذل له الصداقة وإن خاف من الصديق أظهر له العداوة ضرورة,وإنّما سُمّي الصديق صديقًا لما يُرجى من نفعه وسُمّي العدوّ عدوًّا لما يُخاف من ضرره فإنّ العاقل إذا رجا نفع العدوّ ظهّر له الصداقة وإذا خاف ضرّ الصديق أظهر له العداوة,وإنّما سُمّي الصديق صديقًا لما يُرجى من نفعه والعدوّ عدوًّا لما يُخاف من ضرّه والعاقل إذا رجا نفع العدوّ أظهر له الصداقة وإذا خاف ضرّ الصديق أظهر له العداوة,وإنمّا سمّي الصديق صديقًا لمّا يُرجى من نفعه والعدوّ عدوًّا لمّا يُخاف من ضرره فالعاقل إذا رجا نفع العدوّ أبدى له الصداقة وإذا خاف شرّ الصديق أبدى له العداوة,وإنّما سُمّي الصديق صديقًا لما يُرجى من نفعه والعدوّ عدوًّا لما يُخاف من ضرّه والعاقل إذا رجا العدوّ أظهر له الصداقة وأمّا إذا خاف من الصديق أظهر له العداوة,وإنّما سُمّي الصديق صديقًا لما يُرجى من منفعته والعدوّ عدوًّا لما يُخاف من ضرّه فالعاقل إذا رجا نفع العدوّ أظهر له الصداقة وإذا خاف ضرّ الصديق له أظهر له العداوة,وإنّما يُسمّى الصديق صديقًا لما يُرجى من نفعه والعدوّ عدوًّا لما يُخاف من ضرّه فإنّ العاقل إذا رجا نفع العدوّ وأبدى له الصداقة وإذا خاف ضرّ الصديق أظهر له العداوة
81,07492cb2-a721-4aee-ac30-1035360c1ddd,One Should Not Befriend an Enemy Indefinitely,وللعداوة وللصداقة مواضع <لا> ينبغي للعاقل أن يوافي أخًا قد كان له عدوًّا *إلّا على حال ضرورة,*وللعداوة والصداقة مواضع <لا> ينبغي للعاقل أن يؤاخي أخًا قد كان له عدوًّا إلّا على حال ضرورة,وللعداوة والصداقة موضع ينبغي للعاقل أن يتصرّف فيها على ما ينبغي منها ولن ينبغي ... *يؤاخي أخًا كان له عدوًّا إلّا على حال الضرورة,,,,,,,,,,,,ولا ينبغي للعاقل أن يؤاخي أخًا قد كان له عدوًّا لا على حال ضرورة
82,3940f503-fe5a-405f-91dc-59b1677eb548,Young Cattle Only Nurse for a While,فإنّ أولاد الدوابّ تتبع أمّهاتها,وإنّ أولاد الدوابّ تتبع أمّهاتها,فإنّ أولاد الدوابّ تتبع أمّهاتها في حال رضاعتها فإذا استغنت عن الرضاع افترقت عن أمّهاتها,ألا ترى تتابع البهائم أمّهاتها رجاء ألبانها فإذا انقطع ذلك انصرفت عنها,أولا ترى أولاد البهائم يتّبعها بنوها رجاء منها ألبانها فإذا انقطع ذلك اللبن انصرفت عنها وتركتها,وترى البهائم يتبعها أولادها رجاء ألبانها فإذا انقطع ألبانها انقطع الأولاد عنها,ألا ترى تتبّع البهائم لأمّهاتها رجاء ألبانها فإذا انقطع ذلك رجعت عنها,ألا ترى تتابع البهائم لأمّهاتها رجاء لألبانها فإذا انقطع ذلك انصرفت عنها,ألم ترى تتابع البهائم إلى أمّهاتها رجاء ألبانها فإذا انقطع اللبن انصرفت عنها,أولا ترى أولاد البهائم تتّبع أمّهاتها رجاء ألبانها فإذا انقطع ذلك انصرفت عنها,أولا ترى أنّ الأولاد تتبع أمّهاتها رجاء ألبانها فإذا انقطع ذلك اللبن انصرفت عنها,أو لا ترى أولاد البهائم تتبعها رجاء ألبانها فإذا انقطعت انصرفت عنها,أوَلا ترى متابيع البهائم إنّما تتبع أمّهاتها رجاء ألبانها فإذا قُطع ذلك انصرفت عنها,ألا ترى البهائم إنّما تتبعها أولادها رجاء *غذائها فإذا انقطع ذلك انصرفت عنها,أو لا ترى من ?بيع البهائم إنّما تتّبع أمّهاتها في حين رضاعها رجاء لألبانها وحاجتها إليها فإذا استغنت عن الرضاع انقطعت عن أمّهاتها وانصرفت عنها
83,ac5e3d06-07f5-4f5a-9b7b-cb8ddaa2c500,Clouds and Rain Come and Go,,,,,وكما أنّ السحاب يتهيّأ ساعة وينقطع ساعة أخرى ويمطر مرّة ويمسك مرة أخرى,,وكما أنّ السحاب يتهيّأ ساعة وينقطع أخرى,وكما أنّ السحاب يتهيّأ ساعة وينقطع أخرى,وكما أنّ السحاب يتهيّأ ساعة وينقطع أخرى,وكما أنّ السحاب يلتئم ساعة وينقطع أخرى ويهمي ساعة ويمسك أخرى,وكما أنّ السحاب يتهيّأ مرّة وينقطع أخرى ويقطر ساعة ويمسك أخرى,وكما أنّ السحاب يتهيّأ ساعة ثمّ ينقطع ويظهر مرّة ويغيب أخرى,وكما أنّ السحاب يتهيّأ ساعة وينقطع أخرى,وكما أنّ السحاب ينشقّ ساعة وينقطع أخرى ويمطر ساعة ويقلع اخرى,وكما أنّ السحاب يتهيّأ ساعة وينقطع أخرى ويمطر ساعة ويمسك أخرى
84,b3477c73-130b-462f-aece-7c2fa94c9ccb,The Intelligent Adapts,,,,,فكذلك العاقل تتغيّر أحواله مع متلوّنات الأمور على اختلاف أخلاق الأصحاب فيرضى مرّة ويسخط أخرى ويتجلّد مرّة ويشتكي أخرى,كذلك العاقل يتلوّن مع متلوّنات الأمور,كذلك الصديق يتكوّن مع الأمور على اختلاف أحوال الأصحاب فينشط مرّة وينقبض أخرى,كذلك الصديق يتلوّن مع الأمور على اختلاف أحوال الأصحاب فينبسط مرّة وينقبض أخرى ويتجلّد مرّة ويشكو أخرى,كذلك الصديق يتلوّن مع الأمور على اختلاف أحوال الأصحاب فينبسط مرّة وينقبض أخرى ويتجلّد مرّة ?ويشكما أخرى,كذلك العاقل يتلوّن مع متلوّنات الأمور عن اختلاف أحوال الأصحاب فينبسط مرّة وينقبض أخرى ويسترسل مرّة ويحترس أخرى,كذلك العاقل يتلوّن تلوّن الأمور على اختلاف أحوال الأصحاب فيستيقظ مرّة وينقبض أخرى ويسترسل مرّة ويحترس أخرى ويرضى مرّة ويسخط أخرى ويتجلّد مرّة ويشتكي أخرى,فكذلك العاقل يغّير أحواله مع متلونات الأمور على اختلاف أخلاق الأصحاب فينبسط مرّة ثمّ ينقبض أخرى ويسترسل مرّة وينقبض أخرى ويرضى مرّة ويسخط أخرى,كذلك العاقل يتلوّن مع متلوّنات الأمور على اختلاف الحالات بين الإخوان والأصحاب فينبسط مرّة وينقبض أخرى ويسترسل مرّة ويحترس أخرى ويرضى مرّة ويسخط أخرى ويلحد مرّة ويستكين أخرى,كذلك العاقل يتلوّن على إخوانه بمتلوّنات الأمور على اختلاف حالات الأصحاب فينبسط تارة وينخفض أخرى ويسترسل ساعة ويحترس أخرى ويرضى تارة ويسخط أخرى ويتجلّد تارة ويستكين أخرى,كذلك العاقل تتغيّر أحواله وتتلوّن مع تلوّنات الأُمور عن اختلاف أخلاق الأصحاب فينبسط مرّة وينقبض أخرى ويسترسل مرّة ويحترس أخرى ويرضى مرّة ويسخط أخرى ويتجلّد مرّة ويستكين أخرى
85,7ba38ab1-0ecf-484c-aa8d-aea90eff10dd,Enmity Turns into Friendship in Times of Need,والرجل إذا كان عدوًّا ثمّ صار خليلًا في سبب منفعة تنقطع خلّته إذا انقطعت منفعته ويصير إلى العداوة [[وأنت لي عدوّ,والرجل إذا كان عدوًّا ثمّ صار خليلًا في سبب منفعة ينقطع إخاؤه إذا انقطعت منفعته ويصير إلى عداوته,والرجل إذا كان عدوًّا ثمّ صار خليلًا في سبب منفعة تنقطع خلّته إذا انقطعت منفعته وتصير الى عداوة,فأمّا العداوة التي أحدثت الصداقة فالحاجة تحمل على ذلك,وربّما قطع المرء على صديقه بعض ما كان يصله به وربّما أحدث صداقة لعدوّه لحاجة حملها عليه فإذا ذهب [[المرء]] الأمر الذي كان منه تحوّل صفاؤه عداوة فعاد إلى أصل أمره,ومن لم يحترس صار إلى أصل أمره,وربّما انقطع الصديق عن صديقه لقطعه بعض ما كان يصله به فلم يخف شرّه لأنّ أصل أمره كانت صداقة حملته *الحاجة إلى ذلك فإذا انقضى الأمر الذي أحدثها صار أصل أمره,وربّما انقطع الصديق عن صديقه لقطعه بعض ما كان يصله به فلم يخف شرّه لأنّ أصل أمره كان صداقة حملته الحاجة إلى ذلك فإذا انقضى الأمر الذي أحدثها صار ***,وربّما انقطع الصديق عن صديقه لقطعه بعض ما كان يصله به فلم يخفي شرّه لأنّ أصل أمره كان صداقة حملته الحاجة على ذلك فإذا انقضى الأمر الذي أحدثها صار الأمر,وربّما قطع المرء عن صديقه بعض ما كان يصله بفضله فلم يخف شرّه لأنّ أصل أمره لم يكن عداوة فأمّا من كان أصل أمره عداوة وتحدث صداقته لحاجة حملته على ذلك فإنّه إذا ذهب الأمر الذي أحدث ذلك صار إلى أصل أمره,وربّما قطع الصديق عن صديقه بعض ما كان يصله فلم يخف شرّه لأن أصل أمره لم يكن عداوة فأمّا من كان أصل أمره عداوة جوهريّة ثمّ أحدث صداقة لحاجة حملته على ذلك فإنّه إذا زالت الحاجة التي حملته على ذلك زالت صداقته فتحوّلت عداوة وصار إلى أصل أمره,وربّما قطع المرء عن صديقه بعض ما كان يصله به فلا يخاف ضرّه لأنّ أصل أمره لم يكن عداوة وربّما أحدث المرء صداقة لعدوّه لحاجة حملته عليها فإذا ذهب الأمر الذي كان منه ذلك تحوّلت صداقته عداوة,وربّما قطع صديقه ما كان يصله به فلا يخف شرّه لأنّ أصل أمره *** عداوة ثمّ أحدث صداقة لحاجة حملته على ذلك,وربّما قطع الصديق عن صديقه بعض الحوادث فلم يخف شرّه لأن أصل أمره لم يكن عداوة فأمّا من كان أصل أمره عداوة ثمّ أحدث صداقة لحاجة حملته على ذلك فإنّه إذا ذهب الأمر الذي حمله على ذلك تحوّل عداؤه وصار إلى أصل أمره,وربّما قطع المرء عن صديقه بعض ما كان يصله به فلا يخاف شرّه ولا خيره لأنّ أصل أمره لم يكن عداوة والرجل الذّي كان عدوًّا ثمّ صار صديقًا خليلًا في سبب منفعته تنقطع خلّته وصحبته إذا انقطعت منفعته ويتحوّل صفاؤه ويصير إلى أصل أمره
86,15a98b33-4135-4034-bc4c-efe7b3042df5,Heated Water Cools Down,ومثل ذلك]] كالماء الذي يسخن بالنار فإذا فُرّق بينه وبين النار عاد إلى البرودة,كالماء السخن إذا فرّق بينه وبين النار عاد إلى أصله البرودة,كالماء الذي يُسخّن بالنار فإذا فرق بينه وبين النار عاد الى البرد,,كالماء الذي يُسخّن بالنار فإذا رُفع عنها عاد باردًا كما كان,كالماء الذي يُسخّن بالنار فإذا رُفع عنها عاد باردًا,كالماء الذي يُسخّن بالنار فإذا دفع عنها صار باردًا إلى أصله,كالماء الذي يُسخّن بالنار فإذا رُفع عنها عاد باردًا إلى أصله,كالماء الذي يُسخّن بالنار فإذا انقطعت الحرارة عنها عادت باردة إلى أصلها,كالماء الذي يُسخّن بالنار فإذا رُفع عنها عاد باردًا,كالماء الذي يُسخّن بالنار فإذا رُفع عنها عاد باردًا,فصار أمره كالماء الذي يسخن بالنار فإذا وقع عليها صار,فإنّه إذا ذهب الأمر الذي أحدث ذلك صار إلى أصل أمره كالماء الذي يُسخّن بالنار فإذا وقع عليها كان باردًا,كالماء الذي يُسخّن بالنار فإذا رُفع عنها عاد باردًا,كالماء الذي يسخّن بالماء فإذا فُرّق بينه وبينها عاد إلى أشدّ ما كان عليه من شدّة البرودة
87,27110ffa-ffc2-4ced-ab0a-d1911e1761b5,The Cat Is the Rat's Worst Enemy,وأنت لي عدوّ مثل ذلك فكيف تستقيم أن تكون الخلّة بيننا,فأنت لي عدوّ وأنا لك عدوّ ومثل ذلك وكيف يستقيم أن تكون الخلّة بيننا والإخاء,وأنت لي عدوًّا وأنا لك مثل ذلك وكيف تستقيم الخلّة بيننا,,فلا شيء أعدى إليّ منك,ولا عدوّ أضرّ من عداوتك,,فلا عذر لي,فلا عذر لي,فلا عدوًّا أضرّ لي منك,وليس من أعدائي عدوّ أضرّ لي منك,باردًا ولا شيء أضرّ لي عداوة منك,ولا عدوّ أضرّ عداوة منك بعد ما كان بيننا من الودّ والصفاء ما قد كان وبعد ائتلافنا واسترسال بعضنا إلى بعض,فمن كانت عداوته جوهريّة فليس المصاحبة له برأي الأريب إلّا لحاجة إليه ولا عدوّا أضرّ لي عداوة منك,ولا شيء أضرّ لي عداوة منك وأنا لك على ذلك مبغض وكيف تستقيم أن تكون الخلّة بيننا وأنت الآكل وأنا المأكول منّي [قولك] ومن لحمي
88,68a462f9-7139-44b2-9137-0109069d07eb,The Rat's Need for Friendship Has Gone,,,وقد اضطرّتني وإيّاك حاجة للمصالحة فقد مضى الأمر الذي احتجت إليّ فيه واضطرّ إليك فأخاف أن يكون مع ذهابه رجوع العداوة بيني وبينك,,وقد كان اضطرّتني وإيّاك الحاجة وهي التي أحدثت بيني وبينك هذه الصداقة وقد مضى الأمر الذي احتجت فيه إليّ واحتجت فيه إليك وأنا أخاف على روحي منك ومن عداوة ما بيني وبينك,وقد اضّطررتني وإيّاك حاجة أحدنا إلى صاحبه إلى ما أحدثنا من المصالحة فقد ذهب الأمر الذي احتجت إليّ فيه واحتجت إليك فيه فأخاف أن تعود العداوة,وكان قد اضطرّني وإيّاك حاجة أحدثت بيننا صلحًا وقد ذهبت تلك الحاجة وانقضى ذلك الأمر وأخاف أن يكون مع ذهابه عود العداوة,وقد اضطرّني وإيّاك حاجة وانقضى ذلك الأمر وأخاف أن يكون مع ذهابه عود العداوة,وقد !اضّرّني وإيّاك حاجة وانقضى ذلك الأمر وأخاف أن يكون مع ذهابه عود العداوة,وقد كان اضطرّني وإيّاك أمر أخرجنا إلى ما صرنا إليه من المصالحة وقد ذهب الأمر الذي احتجت إليّ واحتجت إليك فيه وأخاف أن يكون مع ذهابه عود العداوة بيني وبينك,وقد اضطرّني وإيّاك حاجة إلى ما حدثنا من المصالحة وقد ذهب الأمر الذي احتجت إليّ واحتجت إليك فيه وأخاف أن يكون مع ذهابه عودة العداوة,وقد اضطرّني وإيّاك حالة أحدثنا !لنا المصلحة وقد مضى الأمر الذي احتجت فيه إليّ واضطررت فيه إليك وأخاف أن يكون مع ذهابه إحياء العداوة بيني وبينك,وقد اضطرّتني إليك الحاجة فأحدث كلّ واحد منّا إلى صاحبه ما أحدثنا من المصالحة فقد ذهب الأمر الذي احتجت إليّ فيه واحتجت إليك فيه فأخاف أن يكون مع ذهابه عود العداوة,وقد اضطرّتني وإيّاك حاجة ونازل بلاء ألجأني إلى المصالحة لننتفع بعضنا ببعض فقد ذهب الأمر الذي احتاج كلّ واحد منّا إلى صاحبه وأخاف أن تعود العداوة إذا ذهب ذلك الأمر,وقد اضطرّتني وإيّاك حاجة اضطرّت كلّ واحد إلى صاحبه وأحدثت لها المصالحة فقد ذهب الأمر الذي احتجت فيه إليّ واضطررت فيه إليك فأخاف أن يكون ذهابه عود العداوة بيني وبينك
89,6ec8bb5a-58eb-4494-97a2-592f91bacfb4,The Weak Must Avoid the Strong,,,ولا خير للضعيف في قرب العدوّ القويّ ولا الذليل في الدنوّ من العزيز,,فلا خير للضعيف في قرب العدوّ القويّ,ولا خير للضعيف في قرب القويّ ولا للذليل في قرب العزيز,ولا خير للضعيف في قرب العدوّ القويّ,ولا خير للضّعيف في قرب العدوّ والقويّ,ولا خير للضعيف في قرب العدوّ القويّ,ولا خير للضعيف في قرب العدوّ القويّ ولا الذليل في قرب العدوّ العزيز,ولا خير للضعيف في قرب العدوّ القويّ ولا للذليل في قرب العدوّ العزيز,ولا خير للضعيف في قرب العدوّ القويّ ولا للذليل في الدنوّ من العزيز,فلا خير للضعيف في قرب العدوّ القويّ ولا الذليل في قرب العدوّ العزيز,ولا خير للضعيف في قرب العدوّ القويّ العزيز,ولا خير للعاقل في قرب ضدّه القويّ ولا خير للضعيف في قرب العدوّ القويّ ولا الذليل في الدنوّ من العدوّ والعزيز
90,b2f29829-7756-44c9-b3b5-c6958df39e6a,The Cat Desires the Rat for Food,وأنا لا أعلم أنّ لك إليّ حاجة,وأنا أعلم أن ليس لك حاجة إلّا أكلي,وأنا أعلم أنّ ليس لك حاجة إلاّ أكلي,,ولا أعلم إن بقي لك حاجة قبلي إلّا أكلي,ولا أعلم لك حاجة إلّا أن تريد أكلي,ولا أعلم لي إليك حاجة ولا لك إليّ حاجة إلّا أن تريد أكلي,ولا أعلم لي إليك حاجة ولا لك إليّ حاجة إلّا أن تريد أكلي,ولا أعلم لي إليك حاجة ولا لك لي حاجة إلّا أن تريد أكلي,ولا أعلم لك فيّ حاجة إلّا أن تريد أكلي,ولا أعلم لك قبلي حاجة إلّا أن تكون تريد أكلي,ولا أعلم لى منك حاجة إلّا أن تكون تريد أكلي,ولا أعلم أنّ لي إليك حاجة ولا لك إليّ حاجة إلّا أن تريد أكلي,ولا أعلم لك قِبلي حاجة إلّا أن تريد أكلي,ولا أعلم لك قبلي حاجة إلّا أنّك تريد أن تأكلني
91,06d2375d-6ea4-4f98-a177-36a2fc95d2fe,The Prudent Rat,,,,,فلا أطمئنّ إليك أبدًا,ولا أرى الثقة بك,ولا أدري بك ثقة ولا أراه,ولا أدري الثقة بك,ولا أدري الثقة بك,ولا أرى الثقة بك,ولا الثقة بك,فلا أرى لي الثقة بك,ولا أرى الثقة بك,,ولا أرى لي الثقة بك
92,9a972061-f3b4-4b1d-8a64-2861566f2c8e,The Cautious Weak Is Better Than Deluded Strong,,,,,,فإنّي قد علمت أنّ الضعيف هو أقرب أن يسلم من العدوّ والقويّ إذا احترس منه ولم يغترر به والقويّ إذا اغترّ بالضعيف واسترسل إليه,,فإنّي قد علمت أنّ الضعيف هو أقرب إلى أن يستأمن العدوّ القويّ إذا احترس منه ولا يقربه بل استرسل إليه,فإنّي قد علمت أنّ الضعيف هو أقرب إلى أن يستأمن العدوّ القويّ إذا حرس نفسه واحترز منه ولا يقربه واسترسل إليه,فإنّي قد علمت أنّ الضعيف هو أقرب إلى أن يسلم من العدوّ القويّ إذا هو احترس منه ولم يغترر به من القويّ إذا اغترّ بالضعيف واسترسل إليه,فإنّي قد علمت أنّ الضعيف المحترس من العدوّ القويّ أقرب إلى السلامة من القويّ [[المغترّ]] اذا اغترّ بالضعيف واسترسل إليه,فإنّي قد علمت أنّ الواهن هو أقرب إلى أن يسلم من الشديد إذا احترس منه ولم يغترّ به من القوي إذا آمن وأغترّ بالضعيف واسترسل إليه,لأنّي قد علمت أنّ الضعيف هو أقرب من أن {لا} يسلم من العدوّ القوي إذا احترس منه ولم يغترر به,ولا أظنّ بك إلّا شرًّا فيما تدعوني به إلى نفسك من لطيف المنطق ولا أرى رأيًا في الثقة بك وقد يُقال إنّ الضعيف المحترس بإذن الله من العدوّ أقرب إلى السلامة من القويّ المغترّ بالضعيف من الأعداء,فإنّي قد علمت أنّ الضعيف الواهن هو أقرب إلى أن يسلم من العدوّ القويّ إذا احترس منه ولم يغترّ به من القويّ إذا أمن الضعيف واغترّ به واسترسل إليه
